,Run No,Loss,Reg. Loss,Repeat,N2(T),N(T),TS4_N2(T),N2(S),N(S),TS4_N2(S)
52,53,0.2680721184548524,0.011642987913596064,0,-18.5938866585264,-19.95776546501687,-4.480011924953632,13.369513604329985,13.078431668820468,0.37831815992900353
53,54,0.26564938564828133,0.011897215073839153,0,-18.43763174621031,-19.96832409876265,-4.595528784990373,13.68496650016419,14.315081659188003,0.38175765371935844
54,55,0.2690485968257717,0.011480602917579732,0,-18.89459697152521,-19.962564843992226,-4.410659918905533,12.573864685044615,12.682984879128423,0.35894620688236306
55,56,0.2659863970237135,0.012313411927943685,0,-18.119043336943804,-19.982002328842412,-4.78325677318322,14.387070325202544,16.216343142120095,0.39275566137006873
56,57,0.2709229738902955,0.01133040507437568,0,-18.03005593068518,-19.960405123453313,-4.513977134166369,12.826001569345376,12.2903895165738,0.361601172030069
57,58,0.26584188855261304,0.012308298190797208,0,-18.437684514367653,-19.981462398707684,-4.727682840021853,14.194952196348682,16.118194301481438,0.3898128938559291
58,59,0.2657039381751904,0.012395137039008483,0,-18.073998870546944,-20.0,-4.459405973678118,14.559847393271983,16.931142127285447,0.3464278692684223
59,60,0.26465086730471465,0.011865818245198742,0,-18.4465751668628,-19.996801059094253,-4.390236570845108,13.467174909247138,14.547646353228412,0.3464754119147671
60,61,0.2651652374735254,0.011641321333122909,0,-18.6103410818223,-20.0,-4.193726469676051,13.007227201269437,13.713297958782569,0.32333528718711635
61,62,0.264793146667596,0.011723029687808325,0,-18.130897540270666,-20.0,-4.333328414280896,13.416700609067151,14.122279211116066,0.33497235211518617
62,63,0.2708260644793697,0.01141256403520108,0,-18.51354940733262,-19.983916274732188,-4.559579427492222,12.670756484075575,12.373043746588923,0.37453887098494754
63,64,0.26481791333055366,0.012149493788056633,0,-18.183886504743363,-19.99597906868305,-4.484449337131644,14.08757466597288,15.791617532111317,0.35345561969755357
64,65,0.2641506951425466,0.011990443821896856,0,-18.065334784513606,-20.0,-4.386430133560392,13.679840099119595,15.481282838994144,0.3297750751934099
65,66,0.2639021434701961,0.012034418537489268,0,-17.879186303665257,-20.0,-4.2818808078454005,13.677276898597299,16.064383428897216,0.30378378593043553
66,67,0.264634005471983,0.01220350087531789,0,-17.55584799977059,-19.997593375925767,-4.565010693882501,14.472447378226263,16.302104618462604,0.3280011856395975
67,68,0.2635943775572313,0.011985766331914331,0,-17.545014409274494,-20.0,-4.643422624867373,14.349098640218628,15.069472824616806,0.3075894925086551
68,69,0.2629359322431392,0.011955592704175,0,-17.113927214705143,-20.0,-4.780219060761619,14.76011552113087,14.802912699294971,0.276381729157372
69,70,0.2630385453978501,0.011859510404680368,0,-18.109890802255535,-19.996791167901023,-3.9601903183958402,13.45311389935295,15.355481391887325,0.2815948482895476
70,71,0.2628826837079769,0.011730949230340348,0,-17.561555171099968,-20.0,-4.285839284872144,13.661368405901012,14.606651702184212,0.27028081798474834
71,72,0.2624803447256573,0.011521341873872454,0,-17.250389504278274,-20.0,-4.186534258742393,13.448265275865076,14.014168787220662,0.22869341712834568
72,73,0.2629329380662343,0.012090364525769576,0,-17.32104145690853,-19.997061867640348,-4.38802882254339,14.342764018406045,16.23995321521433,0.2533377739048356
73,74,0.2621252803045649,0.01202236677111475,0,-16.630185926998315,-20.0,-4.330384749878608,14.584152754612361,16.378688360430623,0.21078883476861093
74,75,0.2617250534976043,0.012100374455663941,0,-15.721991307066077,-20.0,-4.300458839395358,15.142641677294975,17.29420936403173,0.1429455461955328
75,76,0.2604464608040972,0.011650307019245425,0,-16.909627529855683,-20.0,-4.067426675345498,13.802278385322808,14.954931677052812,0.1675778478957589
76,77,0.2589322441634191,0.011373509539203014,0,-16.58651729489823,-20.0,-3.8186346660769956,13.46719388887108,14.281345206347915,0.08736617902383959
77,78,0.25946034677155133,0.011599145963632188,0,-16.155399556372004,-19.997951011847128,-4.196141180793131,14.527421195043033,14.598306792435096,0.11965604530272222
78,79,0.25864620068900945,0.011687008206325893,0,-15.273197975820551,-20.0,-4.596481957708454,15.109686626184079,15.054817296294244,0.0878653819480017
79,80,0.25646103642171336,0.011603489488214656,0,-13.85485156260306,-20.0,-4.91462777736476,15.937972989599643,14.904485248497704,-0.00899935122277129
80,81,0.25682435084218763,0.011473498825267712,0,-15.182803012670249,-19.998337626495832,-3.8212561208770577,14.195304160562412,15.641243505287502,-0.0020485257132038526
81,82,0.2557178565662611,0.011153288924665423,0,-14.262942622387431,-20.0,-4.024522125206509,14.56350237733936,14.004633086059208,-0.06413333700001386
82,83,0.25427725825584985,0.010726729242067511,0,-12.733893205126883,-20.0,-3.842768776538069,14.673871556806017,12.886973021481644,-0.22286889245243857
83,84,0.252782859606689,0.011474919795350876,0,-12.82809580863389,-19.99876287944766,-4.111428194939398,15.86653654686064,15.854685592139866,-0.19000975008378537
84,85,0.24913337498975624,0.01148982432561147,0,-10.616948960811698,-19.998144319171487,-4.073875163037901,17.075672182358424,16.774943994599468,-0.39936133368985094
85,86,0.2545143760836523,0.010679670718363793,0,-12.654813223761295,-19.99814431917148,-3.9219757221672804,14.816503647118562,12.401556558851382,-0.28503083911276705
86,87,0.2477649582787161,0.010879896453970044,0,-11.054542863585137,-20.0,-3.9349048945608907,15.528084946729013,14.365209052586778,-0.39663696635845297
87,88,0.24188200886422753,0.010540043624343357,0,-8.504114517191702,-20.0,-3.8042867514447707,16.028416822572005,14.248660182662618,-0.6547834721890405
88,89,0.24277355596394407,0.010826697928427772,0,-7.9292908658234005,-19.99820875494627,-4.307628771066284,17.442053230801278,14.671275630778858,-0.6117303171505305
89,90,0.2419448448350967,0.01048198628374181,0,-6.915167765769098,-19.999828171267247,-4.467131532995964,17.796192649189567,12.988054707003059,-0.7255428762259291
90,91,0.2361831873126306,0.009978161219303913,0,-5.929891283558298,-19.998108521518823,-3.224594461718663,16.672930373348983,13.086002783294639,-0.957439892384081
91,92,0.22718687279153454,0.009165497084848545,0,-1.9674111440359177,-19.997162782278238,-2.3795778038956144,17.040409065223656,12.176761550693108,-1.4316601629647359
92,93,0.2329239624437553,0.010397255444649695,0,-3.567462262491606,-19.99963702338293,-3.703113877492254,18.53570152186509,15.513999803554867,-1.0636181791114079
93,94,0.22561766064123992,0.010240372321806706,0,-0.4329053002475902,-19.997660350348717,-3.7357691901061933,19.96561026719733,15.904258934949016,-1.406029887991393
94,95,0.21460237445150543,0.011467810142008157,0,5.717588652192056,-19.996490525523072,-3.6822693968902556,20.0,17.4129018916827,-1.99761038576087
95,96,0.21887082101148433,0.009799650324519791,0,2.8949963264384744,-19.998964766627765,-3.3741275482238136,18.53858558085878,12.22894059419227,-1.762287130777654
